fecha;año;mes;commodity;fuente;mercado;tipo_precio;precio_tipo_original;precio_unidad;precio_total;campo_precio_original;valor_precio_original;precio_original_texto;moneda;moneda_explicitamente_informada;moneda_inferida;campo_moneda_original;valor_moneda_original;unidad;precio;volumen;volumen_unidad;campo_volumen_original;procedencia;provincia;localidad;zona;lugar_entrega;precio_puesto_en;operacion;condicion_pago;condicion_comercial;frecuencia;archivo_origen;fecha_integracion;observaciones;apto_piloto;apto_dashboard;pagina_origen;id_operacion_sio;muestra_tipo;muestra_paginas;estado_paginacion;precio_cero_flag;precio_cero_tipo;precio_valido_para_serie
2026-09-04;2026;9;Maíz;SIO Granos / Secretaría de Agricultura;;Compraventa;Precio Hecho;284160;;PRECIO/TN MONTO;284160,00;284160,00;ARS;sí;no;PRECIO/TN MONEDA;$;TN;284160;200,00;TN;CANT. (TN);CÓRDOBA;CÓRDOBA;;Zona 9/En destino;Zona 9/En destino;;Contrato;A plazo;;;SIO_exportar_operaciones_2026-09-07.csv;2026-09-08;moneda informada explícitamente en campo original: ARS;sí;no;;;exportacion_manual;1;no_aplica;no;no_aplica;sí
2026-09-04;2026;9;Maíz;SIO Granos / Secretaría de Agricultura;;Compraventa;Precio Hecho;284090;;PRECIO/TN MONTO;284090,00;284090,00;ARS;sí;no;PRECIO/TN MONEDA;$;TN;284090;299,93;TN;CANT. (TN);CÓRDOBA;CÓRDOBA;;Zona 9/En destino;Zona 9/En destino;;Contrato;A plazo;;;SIO_exportar_operaciones_2026-09-07.csv;2026-09-08;moneda informada explícitamente en campo original: ARS;sí;no;;;exportacion_manual;1;no_aplica;no;no_aplica;sí
2026-09-04;2026;9;Soja;SIO Granos / Secretaría de Agricultura;;Compraventa;Precio Hecho;558300;;PRECIO/TN MONTO;558300,00;558300,00;ARS;sí;no;PRECIO/TN MONEDA;$;TN;558300;0,70;TN;CANT. (TN);CÓRDOBA;CÓRDOBA;;Cordoba/En destino;Cordoba/En destino;;Contrato;A plazo;;;SIO_exportar_operaciones_2026-09-07.csv;2026-09-08;moneda informada explícitamente en campo original: ARS;sí;no;;;exportacion_manual;1;no_aplica;no;no_aplica;sí
2026-09-04;2026;9;Soja;SIO Granos / Secretaría de Agricultura;;Canje;Precio Hecho;558300;;PRECIO/TN MONTO;558300,00;558300,00;ARS;sí;no;PRECIO/TN MONEDA;$;TN;558300;53,00;TN;CANT. (TN);CÓRDOBA;CÓRDOBA;;Cordoba/En destino;Cordoba/En destino;;Contrato;Contra entrega;;;SIO_exportar_operaciones_2026-09-07.csv;2026-09-08;moneda informada explícitamente en campo original: ARS;sí;no;;;exportacion_manual;1;no_aplica;no;no_aplica;sí
2026-09-04;2026;9;Soja;SIO Granos / Secretaría de Agricultura;;Compraventa;Precio Hecho;560000;;PRECIO/TN MONTO;560000,00;560000,00;ARS;sí;no;PRECIO/TN MONEDA;$;TN;560000;3,05;TN;CANT. (TN);SANTA FE;SANTA FE;;Rosario N/En destino;Rosario N/En destino;;Contrato;A plazo;;;SIO_exportar_operaciones_2026-09-07.csv;2026-09-08;moneda informada explícitamente en campo original: ARS;sí;no;;;exportacion_manual;1;no_aplica;no;no_aplica;sí
2026-09-04;2026;9;Soja;SIO Granos / Secretaría de Agricultura;;Compraventa;Precio Hecho;560000;;PRECIO/TN MONTO;560000,00;560000,00;ARS;sí;no;PRECIO/TN MONEDA;$;TN;560000;76,57;TN;CANT. (TN);SALTA;SALTA;;Rosario N/En destino;Rosario N/En destino;;Contrato;A plazo;;;SIO_exportar_operaciones_2026-09-07.csv;2026-09-08;moneda informada explícitamente en campo original: ARS;sí;no;;;exportacion_manual;1;no_aplica;no;no_aplica;sí
2026-09-04;2026;9;Soja;SIO Granos / Secretaría de Agricultura;;Compraventa;Precio Hecho;560000;;PRECIO/TN MONTO;560000,00;560000,00;ARS;sí;no;PRECIO/TN MONEDA;$;TN;560000;143,60;TN;CANT. (TN);CÓRDOBA;CÓRDOBA;;Rosario N/En destino;Rosario N/En destino;;Contrato;A plazo;;;SIO_exportar_operaciones_2026-09-07.csv;2026-09-08;moneda informada explícitamente en campo original: ARS;sí;no;;;exportacion_manual;1;no_aplica;no;no_aplica;sí
2026-09-04;2026;9;Soja;SIO Granos / Secretaría de Agricultura;;Compraventa;Precio Hecho;560000;;PRECIO/TN MONTO;560000,00;560000,00;ARS;sí;no;PRECIO/TN MONEDA;$;TN;560000;200,00;TN;CANT. (TN);CÓRDOBA;CÓRDOBA;;Rosario N/En destino;Rosario N/En destino;;Contrato;A plazo;;;SIO_exportar_operaciones_2026-09-07.csv;2026-09-08;moneda informada explícitamente en campo original: ARS;sí;no;;;exportacion_manual;1;no_aplica;no;no_aplica;sí
2026-09-04;2026;9;Maíz;SIO Granos / Secretaría de Agricultura;;Compraventa;Precio Hecho;285560;;PRECIO/TN MONTO;285560,00;285560,00;ARS;sí;no;PRECIO/TN MONEDA;$;TN;285560;50,00;TN;CANT. (TN);CÓRDOBA;CÓRDOBA;;Rosario N/En destino;Rosario N/En destino;;Contrato;A plazo;;;SIO_exportar_operaciones_2026-09-07.csv;2026-09-08;moneda informada explícitamente en campo original: ARS;sí;no;;;exportacion_manual;1;no_aplica;no;no_aplica;sí
2026-09-04;2026;9;Maíz;SIO Granos / Secretaría de Agricultura;;Compraventa;Precio Hecho;285560;;PRECIO/TN MONTO;285560,00;285560,00;ARS;sí;no;PRECIO/TN MONEDA;$;TN;285560;16,13;TN;CANT. (TN);CÓRDOBA;CÓRDOBA;;Rosario N/En destino;Rosario N/En destino;;Contrato;A plazo;;;SIO_exportar_operaciones_2026-09-07.csv;2026-09-08;moneda informada explícitamente en campo original: ARS;sí;no;;;exportacion_manual;1;no_aplica;no;no_aplica;sí
