id_operacion_sio;fecha;año;mes;commodity;fuente;mercado;tipo_precio;operacion;moneda;unidad;precio;precio_original_texto;volumen;volumen_unidad;procedencia;lugar_entrega;condicion_comercial;precio_cero_flag;precio_valido_para_serie;fecha_descarga_snapshot;fecha_actualizacion_dashboard;observaciones
8470364;2026-09-09;2026;9;Maíz;SIO Granos / Secretaría de Agricultura;;Precio Hecho;Contrato;ARS;TN;251233;"251232,80
$";60,00;TN;CÓRDOBAETRURIA;Rosario NEn destino;;no;sí;2026-09-09T11:17:15;2026-09-24;"integración piloto una página GetOperaciones; moneda extraída explícitamente del campo precio original: ARS; snapshot de últimas operaciones; no es histórico completo; observada en snapshot latest; observada en snapshot latest; observada en snapshot latest"
8470363;2026-09-09;2026;9;TRIGO PAN;SIO Granos / Secretaría de Agricultura;;Precio Hecho;Contrato;ARS;TN;346000;"346000,00
$";28,79;TN;CÓRDOBAPASCANAS;Zona 8En destino;;no;sí;2026-09-09T11:17:15;2026-09-24;"commodity no catalogado; se conserva para revisión; integración piloto una página GetOperaciones; moneda extraída explícitamente del campo precio original: ARS; snapshot de últimas operaciones; no es histórico completo; observada en snapshot latest; observada en snapshot latest; observada en snapshot latest"
8470362;2026-09-09;2026;9;Soja;SIO Granos / Secretaría de Agricultura;;Precio Hecho;Contrato;ARS;TN;556000;"556000,00
$";41,54;TN;BUENOS AIRESCARLOS CASARES;Rosario SEn destino;;no;sí;2026-09-09T11:17:15;2026-09-24;"integración piloto una página GetOperaciones; moneda extraída explícitamente del campo precio original: ARS; snapshot de últimas operaciones; no es histórico completo; observada en snapshot latest; observada en snapshot latest; observada en snapshot latest"
8470339;2026-09-09;2026;9;Soja;SIO Granos / Secretaría de Agricultura;;Precio Hecho;Contrato;ARS;TN;560000;"560000,00
$";400,00;TN;BUENOS AIRES25 DE MAYO;Zona 6En destino;;no;sí;2026-09-09T11:17:15;2026-09-24;"integración piloto una página GetOperaciones; moneda extraída explícitamente del campo precio original: ARS; snapshot de últimas operaciones; no es histórico completo; observada en snapshot latest; observada en snapshot latest; observada en snapshot latest"
8470319;2026-09-09;2026;9;Maíz;SIO Granos / Secretaría de Agricultura;;Precio Hecho;Contrato;ARS;TN;258622;"258622,00
$";60,45;TN;CÓRDOBAETRURIA;Rosario NEn destino;;no;sí;2026-09-09T11:17:15;2026-09-24;"integración piloto una página GetOperaciones; moneda extraída explícitamente del campo precio original: ARS; snapshot de últimas operaciones; no es histórico completo; observada en snapshot latest; observada en snapshot latest; observada en snapshot latest"
8470318;2026-09-09;2026;9;Maíz;SIO Granos / Secretaría de Agricultura;;Precio Hecho;Contrato;USD;TN;161.73;"161,73
U$S";90,00;TN;BUENOS AIRESGENERAL VILLEGAS;Zona 7En destino;;no;sí;2026-09-09T11:17:15;2026-09-24;"integración piloto una página GetOperaciones; moneda extraída explícitamente del campo precio original: USD; snapshot de últimas operaciones; no es histórico completo; observada en snapshot latest; observada en snapshot latest; observada en snapshot latest"
8470499;2026-09-09;2026;9;ACEITE SOJA;SIO Granos / Secretaría de Agricultura;;Precio Hecho;Contrato;USD;TN;995;"995,00
U$S";750,00;TN;CÓRDOBATANCACHA;Zona 11En destino;;no;sí;2026-09-09T14:57:26;2026-09-09;"commodity no catalogado; se conserva para revisión; integración piloto una página GetOperaciones; moneda extraída explícitamente del campo precio original: USD; snapshot de últimas operaciones; no es histórico completo; observada en snapshot latest"
8470494;2026-09-09;2026;9;Maíz;SIO Granos / Secretaría de Agricultura;;Precio Hecho;Contrato;ARS;TN;293100;"293100,00
$";32,21;TN;CÓRDOBAMARCOS JUAREZ;Rosario NEn destino;;no;sí;2026-09-09T14:57:26;2026-09-09;"integración piloto una página GetOperaciones; moneda extraída explícitamente del campo precio original: ARS; snapshot de últimas operaciones; no es histórico completo; observada en snapshot latest"
8470493;2026-09-09;2026;9;Maíz;SIO Granos / Secretaría de Agricultura;;Precio Hecho;Contrato;ARS;TN;293100;"293100,00
$";60,13;TN;CÓRDOBAMARCOS JUAREZ;Rosario NEn destino;;no;sí;2026-09-09T14:57:26;2026-09-09;"integración piloto una página GetOperaciones; moneda extraída explícitamente del campo precio original: ARS; snapshot de últimas operaciones; no es histórico completo; observada en snapshot latest"
8470454;2026-09-09;2026;9;Maíz;SIO Granos / Secretaría de Agricultura;;Precio Hecho;Contrato;USD;TN;191.9;"191,90
U$S";405,00;TN;BUENOS AIRESLIMA;Zona 5En origen;;no;sí;2026-09-09T14:57:26;2026-09-09;"integración piloto una página GetOperaciones; moneda extraída explícitamente del campo precio original: USD; snapshot de últimas operaciones; no es histórico completo; observada en snapshot latest"
