commodity;moneda;unidad;tipo_precio;año;mes;periodo_ym;precio_mediana;variacion_mensual_pct;estado
TRIGO CAND.;ARS;TN;Compraventa;2026;6;2026-06;299300;-4.606338;Estable
TRIGO CAND.;USD;TN;Compraventa;2026;6;2026-06;246.475;4.882979;Estable
TRIGO PAN;ARS;TN;Canje;2026;6;2026-06;295500;1.441813;Estable
TRIGO PAN;ARS;TN;Compraventa;2026;6;2026-06;299000;0.556593;Estable
TRIGO PAN;USD;TN;Canje;2026;6;2026-06;207;-7.506702;Baja
TRIGO PAN;USD;TN;Compraventa;2026;6;2026-06;207;-8;Baja
ACEITE SOJA;ARS;TN;Canje;2026;7;2026-07;1234015;2.063156;Estable
ACEITE SOJA;ARS;TN;Compraventa;2026;7;2026-07;1280000;1.587302;Estable
ACEITE SOJA;USD;TN;Compraventa;2026;7;2026-07;940;-2.083333;Estable
ARROZ C.L.A;ARS;TN;Canje;2026;7;2026-07;400000;0;Estable
ARROZ C.L.A;ARS;TN;Compraventa;2026;7;2026-07;400000;0;Estable
ARROZ C.L.F;ARS;TN;Canje;2026;7;2026-07;300000;0;Estable
ARROZ C.L.F;ARS;TN;Compraventa;2026;7;2026-07;270000;-6.208966;Baja
CEBADA CERV.;ARS;TN;Canje;2026;7;2026-07;300000;;Sin dato
CEBADA CERV.;USD;TN;Canje;2026;7;2026-07;235;1.075269;Estable
CEBADA CERV.;USD;TN;Compraventa;2026;7;2026-07;210;0;Estable
CEBADA FORR.;ARS;TN;Compraventa;2026;7;2026-07;282000;-1.225919;Estable
CEBADA FORR.;USD;TN;Canje;2026;7;2026-07;192;-1.538462;Estable
CEBADA FORR.;USD;TN;Compraventa;2026;7;2026-07;193;-2.525253;Estable
Girasol;ARS;TN;Canje;2026;7;2026-07;658537.5;10.652536;Suba moderada
Girasol;ARS;TN;Compraventa;2026;7;2026-07;662625;10.070598;Suba moderada
Girasol;USD;TN;Canje;2026;7;2026-07;400;2.564103;Estable
Girasol;USD;TN;Compraventa;2026;7;2026-07;408;2;Estable
Maíz;ARS;TN;Canje;2026;7;2026-07;266700;4.342723;Estable
Maíz;ARS;TN;Compraventa;2026;7;2026-07;268920;4.619814;Estable
