año;mes;periodo_ym;commodity;moneda;unidad;tipo_precio;fuente;operaciones;precio_promedio;precio_mediana;precio_min;precio_max;volumen_total;precio_ponderado_volumen;dias_con_datos;variacion_mensual_pct;variacion_interanual_pct
2026;4;2026-04;TRIGO CAND.;USD;TN;Compraventa;SIO Granos / Secretaría de Agricultura;2;193.55;193.55;152.1;235;102.06;211.574211;2;-7.833333;
2026;4;2026-04;TRIGO PAN;ARS;TN;Canje;SIO Granos / Secretaría de Agricultura;351;252204.022792;253440;210;295000;22843.82;258324.514365;23;-0.149712;
2026;4;2026-04;TRIGO PAN;ARS;TN;Compraventa;SIO Granos / Secretaría de Agricultura;5341;271377.608643;268000;205;450000;941277.56;271831.110822;25;4.892368;
2026;4;2026-04;TRIGO PAN;USD;TN;Canje;SIO Granos / Secretaría de Agricultura;252;212.04754;214.915;98;256.95;42916.4;214.535613;22;7.4575;
2026;4;2026-04;TRIGO PAN;USD;TN;Compraventa;SIO Granos / Secretaría de Agricultura;3612;210.812381;215;150;334;1232771.88;214.377129;27;4.878049;
2026;5;2026-05;ACEITE SOJA;ARS;TN;Canje;SIO Granos / Secretaría de Agricultura;1;1209070;1209070;1209070;1209070;28.38;1209070;1;;
2026;5;2026-05;ACEITE SOJA;ARS;TN;Compraventa;SIO Granos / Secretaría de Agricultura;12;1043411.75;1265000;943;1450000;200.06;1103339.380786;9;2.016129;
2026;5;2026-05;ACEITE SOJA;USD;TN;Compraventa;SIO Granos / Secretaría de Agricultura;102;968.057549;980;277;1040;11454.82;952.116684;20;0;
2026;5;2026-05;ARROZ C.L.A;ARS;TN;Canje;SIO Granos / Secretaría de Agricultura;30;369500;360000;235000;400000;691.04;385535.714286;8;0;
2026;5;2026-05;ARROZ C.L.A;ARS;TN;Compraventa;SIO Granos / Secretaría de Agricultura;20;386491;396877;221440;429760;1578.61;396056.05031;10;-0.78075;
2026;5;2026-05;ARROZ C.L.F;ARS;TN;Canje;SIO Granos / Secretaría de Agricultura;133;251197.894737;250000;230000;300000;4981.86;252218.882185;16;4.166667;
2026;5;2026-05;ARROZ C.L.F;ARS;TN;Compraventa;SIO Granos / Secretaría de Agricultura;53;288508.188679;280000;206523;792000;12041.54;317353.25289;17;12;
2026;5;2026-05;CEBADA CERV.;USD;TN;Compraventa;SIO Granos / Secretaría de Agricultura;205;223.290244;230;175;278;103674.01;223.419603;19;8.490566;
2026;5;2026-05;CEBADA FORR.;ARS;TN;Compraventa;SIO Granos / Secretaría de Agricultura;67;282526.014925;288750;125000;295000;29978.45;287789.546427;17;1.662512;
2026;5;2026-05;CEBADA FORR.;USD;TN;Canje;SIO Granos / Secretaría de Agricultura;29;207.07069;207;169.15;238.39;3037.43;210.652744;13;0.97561;
2026;5;2026-05;CEBADA FORR.;USD;TN;Compraventa;SIO Granos / Secretaría de Agricultura;436;205.832683;207;165;320;90875.62;207.152309;21;0.97561;
2026;5;2026-05;Girasol;ARS;TN;Canje;SIO Granos / Secretaría de Agricultura;48;572919.875;582770;472260;673870;1508.78;566964.476988;17;9.954529;
2026;5;2026-05;Girasol;ARS;TN;Compraventa;SIO Granos / Secretaría de Agricultura;1689;576783.208407;582960;380;716874;127569.28;570863.445503;20;7.295885;
2026;5;2026-05;Girasol;USD;TN;Canje;SIO Granos / Secretaría de Agricultura;97;380.243918;380;300;430;12495.4;378.88299;19;5.555556;
2026;5;2026-05;Girasol;USD;TN;Compraventa;SIO Granos / Secretaría de Agricultura;1737;389.55468;380;295.5;1210;336001.74;390.111159;24;5.341945;
2026;5;2026-05;Maíz;ARS;TN;Canje;SIO Granos / Secretaría de Agricultura;846;247376.29279;254460;156;440000;80746.49;246537.999768;21;2.264644;
2026;5;2026-05;Maíz;ARS;TN;Compraventa;SIO Granos / Secretaría de Agricultura;7632;256050.967944;256926.5;190;465000;1697006.7;258868.919402;27;1.551976;
2026;5;2026-05;Maíz;USD;TN;Canje;SIO Granos / Secretaría de Agricultura;1108;200.977771;196.13;118.1;368.43;260742.65;198.209889;19;0.553704;
2026;5;2026-05;Maíz;USD;TN;Compraventa;SIO Granos / Secretaría de Agricultura;4569;191.066739;190;129.19;350;2841199.16;192.759448;29;1.604278;
2026;5;2026-05;Soja;ARS;TN;Canje;SIO Granos / Secretaría de Agricultura;3354;444715.131485;451352;430;525760;259492.23;444759.388613;26;4.965581;
2026;5;2026-05;Soja;ARS;TN;Compraventa;SIO Granos / Secretaría de Agricultura;32701;448465.801706;458300;184.6;587518;4677809.76;450882.714518;29;6.581395;
2026;5;2026-05;Soja;USD;TN;Canje;SIO Granos / Secretaría de Agricultura;2002;350.168886;352.17;196.13;409.35;221602.36;346.291983;21;3.193952;
