fecha;commodity;operacion;tipo_precio;moneda;unidad;precio;precio_original_texto;campo_precio_original;volumen;volumen_unidad;procedencia;lugar_entrega;condicion_comercial;precio_cero_tipo;observaciones;archivo_origen
2026-09-07;Maíz;Contrato;Compraventa;Sin especificar;TN;0;0;PRECIO/TN MONTO;16,09;TN;SANTA FE;Rosario S/En destino;;cero_explicito;"precio cero clasificado como cero_explicito; excluido de series de precios; moneda no informada explícitamente en endpoint GetOperaciones; no se infiere del valor original";SIO_exportar_operaciones_2026-09-07.csv
2026-09-07;ARROZ C.L.F;Contrato;Compraventa;Sin especificar;TN;0;0;PRECIO/TN MONTO;1125,00;TN;ENTRE RÍOS;Zona 13/En destino;;cero_explicito;"commodity no catalogado; se conserva para revisión; precio cero clasificado como cero_explicito; excluido de series de precios; moneda no informada explícitamente en endpoint GetOperaciones; no se infiere del valor original";SIO_exportar_operaciones_2026-09-07.csv
2026-09-07;Soja;Contrato;Compraventa;Sin especificar;TN;0;0;PRECIO/TN MONTO;450,00;TN;CÓRDOBA;Rosario S/En destino;;cero_explicito;"precio cero clasificado como cero_explicito; excluido de series de precios; moneda no informada explícitamente en endpoint GetOperaciones; no se infiere del valor original";SIO_exportar_operaciones_2026-09-07.csv
2026-09-06;Soja;Contrato;Compraventa;Sin especificar;TN;0;0;PRECIO/TN MONTO;6000,00;TN;SANTA FE;Rosario N/En destino;;cero_explicito;"precio cero clasificado como cero_explicito; excluido de series de precios; moneda no informada explícitamente en endpoint GetOperaciones; no se infiere del valor original";SIO_exportar_operaciones_2026-09-07.csv
2026-09-05;Soja;Contrato;Compraventa;Sin especificar;TN;0;0;PRECIO/TN MONTO;230,94;TN;CÓRDOBA;Zona 9/En destino;;cero_explicito;"precio cero clasificado como cero_explicito; excluido de series de precios; moneda no informada explícitamente en endpoint GetOperaciones; no se infiere del valor original";SIO_exportar_operaciones_2026-09-07.csv
2026-09-05;Maíz;Contrato;Compraventa;Sin especificar;TN;0;0;PRECIO/TN MONTO;37,94;TN;ENTRE RÍOS;Rosario S/En destino;;cero_explicito;"precio cero clasificado como cero_explicito; excluido de series de precios; moneda no informada explícitamente en endpoint GetOperaciones; no se infiere del valor original";SIO_exportar_operaciones_2026-09-07.csv
2026-09-05;Maíz;Contrato;Compraventa;Sin especificar;TN;0;0;PRECIO/TN MONTO;20,52;TN;ENTRE RÍOS;Zona 18/En destino;;cero_explicito;"precio cero clasificado como cero_explicito; excluido de series de precios; moneda no informada explícitamente en endpoint GetOperaciones; no se infiere del valor original";SIO_exportar_operaciones_2026-09-07.csv
2026-09-05;Maíz;Contrato;Compraventa;Sin especificar;TN;0;0;PRECIO/TN MONTO;101,79;TN;ENTRE RÍOS;Rosario S/En destino;;cero_explicito;"precio cero clasificado como cero_explicito; excluido de series de precios; moneda no informada explícitamente en endpoint GetOperaciones; no se infiere del valor original";SIO_exportar_operaciones_2026-09-07.csv
2026-09-05;Maíz;Contrato;Compraventa;Sin especificar;TN;0;0;PRECIO/TN MONTO;41,35;TN;ENTRE RÍOS;Zona 13/En destino;;cero_explicito;"precio cero clasificado como cero_explicito; excluido de series de precios; moneda no informada explícitamente en endpoint GetOperaciones; no se infiere del valor original";SIO_exportar_operaciones_2026-09-07.csv
2026-09-05;Soja;Contrato;Compraventa;Sin especificar;TN;0;0;PRECIO/TN MONTO;72,92;TN;CHACO;Zona 14/En destino;;cero_explicito;"precio cero clasificado como cero_explicito; excluido de series de precios; moneda no informada explícitamente en endpoint GetOperaciones; no se infiere del valor original";SIO_exportar_operaciones_2026-09-07.csv
2026-09-05;Maíz;Contrato;Compraventa;Sin especificar;TN;0;0;PRECIO/TN MONTO;88,98;TN;CHACO;Zona 14/En destino;;cero_explicito;"precio cero clasificado como cero_explicito; excluido de series de precios; moneda no informada explícitamente en endpoint GetOperaciones; no se infiere del valor original";SIO_exportar_operaciones_2026-09-07.csv
2026-09-05;Soja;Contrato;Compraventa;Sin especificar;TN;0;0;PRECIO/TN MONTO;5,79;TN;BUENOS AIRES;Zona 7/En destino;;cero_explicito;"precio cero clasificado como cero_explicito; excluido de series de precios; moneda no informada explícitamente en endpoint GetOperaciones; no se infiere del valor original";SIO_exportar_operaciones_2026-09-07.csv
